bill_id,bill_number,bioguide_id,vote_position,vote_date,roll_call_number,chamber,party,state,district
hr7147-119,H.R. 7147,O000174,Nay,2026-02-24,39,senate,D,GA,
hr7147-119,H.R. 7147,P000145,Nay,2026-02-24,39,senate,D,CA,
hr7147-119,H.R. 7147,P000603,Not Voting,2026-02-24,39,senate,R,KY,
hr7147-119,H.R. 7147,P000595,Nay,2026-02-24,39,senate,D,MI,
hr7147-119,H.R. 7147,R000122,Nay,2026-02-24,39,senate,D,RI,
hr7147-119,H.R. 7147,R000618,Yea,2026-02-24,39,senate,R,NE,
hr7147-119,H.R. 7147,R000584,Yea,2026-02-24,39,senate,R,ID,
hr7147-119,H.R. 7147,R000608,Nay,2026-02-24,39,senate,D,NV,
hr7147-119,H.R. 7147,R000605,Yea,2026-02-24,39,senate,R,SD,
hr7147-119,H.R. 7147,S000033,Nay,2026-02-24,39,senate,I,VT,
hr7147-119,H.R. 7147,S001194,Nay,2026-02-24,39,senate,D,HI,
hr7147-119,H.R. 7147,S001150,Nay,2026-02-24,39,senate,D,CA,
hr7147-119,H.R. 7147,S001227,Yea,2026-02-24,39,senate,R,MO,
hr7147-119,H.R. 7147,S000148,Nay,2026-02-24,39,senate,D,NY,
hr7147-119,H.R. 7147,S001217,Yea,2026-02-24,39,senate,R,FL,
hr7147-119,H.R. 7147,S001184,Yea,2026-02-24,39,senate,R,SC,
hr7147-119,H.R. 7147,S001181,Nay,2026-02-24,39,senate,D,NH,
hr7147-119,H.R. 7147,S001232,Yea,2026-02-24,39,senate,R,MT,
hr7147-119,H.R. 7147,S001208,Nay,2026-02-24,39,senate,D,MI,
hr7147-119,H.R. 7147,S001203,Nay,2026-02-24,39,senate,D,MN,
hr7147-119,H.R. 7147,S001198,Yea,2026-02-24,39,senate,R,AK,
hr7147-119,H.R. 7147,T000250,Nay,2026-02-24,39,senate,R,SD,
hr7147-119,H.R. 7147,T000476,Not Voting,2026-02-24,39,senate,R,NC,
hr7147-119,H.R. 7147,T000278,Yea,2026-02-24,39,senate,R,AL,
hr7147-119,H.R. 7147,V000128,Nay,2026-02-24,39,senate,D,MD,
hr7147-119,H.R. 7147,W000805,Nay,2026-02-24,39,senate,D,VA,
hr7147-119,H.R. 7147,W000790,Nay,2026-02-24,39,senate,D,GA,
hr7147-119,H.R. 7147,W000817,Nay,2026-02-24,39,senate,D,MA,
hr7147-119,H.R. 7147,W000800,Nay,2026-02-24,39,senate,D,VT,
hr7147-119,H.R. 7147,W000802,Not Voting,2026-02-24,39,senate,D,RI,
hr7147-119,H.R. 7147,W000437,Yea,2026-02-24,39,senate,R,MS,
hr7147-119,H.R. 7147,W000779,Nay,2026-02-24,39,senate,D,OR,
hr7147-119,H.R. 7147,Y000064,Yea,2026-02-24,39,senate,R,IN,
,,B001230,Nay,2025-11-03,602,senate,D,WI,
,,S001150,Nay,2025-11-03,602,senate,D,CA,
,,A000382,Nay,2025-10-28,593,senate,D,MD,
,,H001046,Nay,2025-10-28,591,senate,D,NM,
,,G000359,Yea,2025-10-27,588,senate,R,SC,
,,C001113,Nay,2025-10-23,586,senate,D,NV,
,,B001236,Yea,2025-10-21,580,senate,R,AR,
,,K000377,Yea,2025-09-29,532,senate,D,AZ,
,,B001261,Yea,2025-10-07,547,senate,R,WY,
,,K000393,Yea,2025-10-07,547,senate,R,LA,
,,A000382,Nay,2025-10-06,546,senate,D,MD,
,,A000382,Nay,2025-09-19,529,senate,D,MD,
s2882-119,S. 2882,L000570,Yea,2025-09-19,527,senate,D,NM,
,,J000293,Yea,2025-09-17,525,senate,R,WI,
,,B001230,Nay,2025-09-15,519,senate,D,WI,
,,B001299,Yea,2025-09-09,509,senate,R,IN,
,,K000367,Nay,2025-09-08,504,senate,D,MN,
,,J000312,Yea,2025-08-02,495,senate,R,WV,
,,C001095,Yea,2025-08-02,490,senate,R,AR,
,,T000476,Yea,2025-08-02,490,senate,R,NC,
,,H000273,Nay,2025-08-02,488,senate,D,CO,
,,L000570,Nay,2025-08-02,488,senate,D,NM,
,,M001244,Yea,2025-08-02,487,senate,R,FL,
,,A000382,Nay,2025-08-01,471,senate,D,MD,
,,S001208,Nay,2025-08-01,469,senate,D,MI,
,,B001230,Nay,2025-08-01,468,senate,D,WI,
,,S001217,Yea,2025-07-30,457,senate,R,FL,
,,H001046,Nay,2025-07-30,452,senate,D,NM,
,,T000250,Yea,2025-07-29,444,senate,R,SD,
,,B001230,Nay,2025-07-29,443,senate,D,WI,
,,W000790,Nay,2025-07-28,440,senate,D,GA,
,,R000608,Nay,2025-07-24,436,senate,D,NV,
,,B001288,Nay,2025-07-23,430,senate,D,NJ,
,,W000800,Nay,2025-07-23,427,senate,D,VT,
,,B001261,Yea,2025-07-22,421,senate,R,WY,
,,B001230,Nay,2025-07-22,420,senate,D,WI,
,,R000618,Yea,2025-07-22,419,senate,R,NE,
,,C000880,Yea,2025-07-17,416,senate,R,ID,
,,O000174,Nay,2025-07-17,414,senate,D,GA,
hr4-119,H.R. 4,F000479,Yea,2025-07-16,400,senate,D,PA,
,,S001217,Yea,2025-07-15,390,senate,R,FL,
,,W000790,Nay,2025-07-10,382,senate,D,GA,
,,B001230,Nay,2025-07-10,381,senate,D,WI,
hr1-119,H.R. 1,H001104,Nay,2025-07-01,365,senate,R,OH,
,,K000367,Yea,2025-06-24,324,senate,D,MN,
,,A000382,Nay,2025-06-23,322,senate,D,MD,
,,B001230,Nay,2025-06-18,321,senate,D,WI,
,,B001230,Nay,2025-06-18,320,senate,D,WI,
,,K000383,Nay,2025-06-17,315,senate,I,ME,
,,K000367,Nay,2025-06-11,304,senate,D,MN,
,,K000367,Nay,2025-06-10,299,senate,D,MN,
,,P000595,Nay,2025-06-10,302,senate,D,MI,
,,L000570,Nay,2025-06-10,301,senate,D,NM,
,,T000476,Yea,2025-06-03,283,senate,R,NC,
,,A000382,Nay,2025-06-02,282,senate,D,MD,
,,S000033,Nay,2025-05-19,260,senate,I,VT,
,,W000805,Nay,2025-05-14,257,senate,D,VA,
,,A000382,Nay,2025-05-14,253,senate,D,MD,
,,B001299,Yea,2025-05-14,252,senate,R,IN,
,,G000555,Not Voting,2025-05-12,242,senate,D,NY,
,,F000463,Yea,2025-04-29,219,senate,R,NE,
,,M000355,Yea,2025-04-29,219,senate,R,KY,
,,F000463,Yea,2025-04-29,217,senate,R,NE,
,,H001046,Nay,2025-04-10,209,senate,D,NM,
,,M000355,Yea,2025-04-09,202,senate,R,KY,
,,B001230,Nay,2025-03-27,155,senate,D,WI,
,,T000476,Yea,2025-03-27,155,senate,R,NC,
,,B001288,Nay,2025-03-26,145,senate,D,NJ,
,,K000383,Nay,2025-03-26,145,senate,I,ME,
,,G000359,Yea,2025-03-25,143,senate,R,SC,
,,D000622,Yea,2025-03-25,139,senate,D,IL,
,,K000384,Yea,2025-03-14,135,senate,D,VA,
,,S001181,Yea,2025-03-14,134,senate,D,NH,
,,M000355,Yea,2025-03-12,119,senate,R,KY,
,,M000355,Yea,2025-03-12,117,senate,R,KY,
,,C001088,Nay,2025-02-25,93,senate,D,DE,
,,B001299,Yea,2025-02-25,90,senate,R,IN,
,,S001184,Yea,2025-02-24,89,senate,R,SC,
sconres7-119,S.Con.Res. 7,L000577,Nay,2025-02-21,75,senate,R,UT,
sconres7-119,S.Con.Res. 7,L000570,Yea,2025-02-20,63,senate,D,NM,
,,C001098,Yea,2025-02-20,61,senate,R,TX,
,,W000802,Nay,2025-02-20,60,senate,D,RI,
,,S001184,Yea,2025-02-13,53,senate,R,SC,
,,T000476,Yea,2025-02-12,51,senate,R,NC,
,,G000555,Nay,2025-02-10,49,senate,D,NY,
,,G000359,Yea,2025-02-10,49,senate,R,SC,
,,G000386,Yea,2025-02-10,49,senate,R,IA,
,,H000601,Yea,2025-02-10,49,senate,R,TN,
,,H001076,Nay,2025-02-10,49,senate,D,NH,
,,H001089,Yea,2025-02-10,49,senate,R,MO,
,,H001046,Nay,2025-02-10,49,senate,D,NM,
,,H000273,Nay,2025-02-10,49,senate,D,CO,
,,H001042,Nay,2025-02-10,49,senate,D,HI,
,,H001061,Yea,2025-02-10,49,senate,R,ND,
,,H001104,Yea,2025-02-10,49,senate,R,OH,
,,H001079,Yea,2025-02-10,49,senate,R,MS,
,,J000293,Yea,2025-02-10,49,senate,R,WI,
,,J000312,Yea,2025-02-10,49,senate,R,WV,
,,K000384,Nay,2025-02-10,49,senate,D,VA,
,,K000377,Nay,2025-02-10,49,senate,D,AZ,
,,K000393,Yea,2025-02-10,49,senate,R,LA,
,,K000394,Nay,2025-02-10,49,senate,D,NJ,
,,K000383,Nay,2025-02-10,49,senate,I,ME,
,,R000122,Nay,2025-02-10,49,senate,D,RI,
,,R000618,Yea,2025-02-10,49,senate,R,NE,
,,R000584,Yea,2025-02-10,49,senate,R,ID,
,,R000608,Nay,2025-02-10,49,senate,D,NV,
,,R000605,Yea,2025-02-10,49,senate,R,SD,
,,S000033,Nay,2025-02-10,49,senate,I,VT,
,,S001194,Nay,2025-02-10,49,senate,D,HI,
,,S001150,Nay,2025-02-10,49,senate,D,CA,
,,S001227,Yea,2025-02-10,49,senate,R,MO,
,,S000148,Nay,2025-02-10,49,senate,D,NY,
,,S001217,Yea,2025-02-10,49,senate,R,FL,
,,S001184,Yea,2025-02-10,49,senate,R,SC,
,,S001181,Nay,2025-02-10,49,senate,D,NH,
,,S001232,Yea,2025-02-10,49,senate,R,MT,
,,R000584,Yea,2025-02-06,48,senate,R,ID,
,,R000608,Nay,2025-02-06,48,senate,D,NV,
,,R000605,Yea,2025-02-06,48,senate,R,SD,
,,S000033,Nay,2025-02-06,48,senate,I,VT,
,,S001194,Nay,2025-02-06,48,senate,D,HI,
,,S001150,Nay,2025-02-06,48,senate,D,CA,
,,S001227,Yea,2025-02-06,48,senate,R,MO,
,,S000148,Nay,2025-02-06,48,senate,D,NY,
,,S001217,Yea,2025-02-06,48,senate,R,FL,
,,S001184,Yea,2025-02-06,48,senate,R,SC,
,,S001181,Nay,2025-02-06,48,senate,D,NH,
,,S001232,Yea,2025-02-06,48,senate,R,MT,
,,S001208,Nay,2025-02-06,48,senate,D,MI,
,,S001203,Nay,2025-02-06,48,senate,D,MN,
,,S001198,Yea,2025-02-06,48,senate,R,AK,
,,C001098,Yea,2025-02-06,47,senate,R,TX,
,,C001114,Yea,2025-02-06,47,senate,R,UT,
,,D000618,Yea,2025-02-06,47,senate,R,MT,
,,D000622,Nay,2025-02-06,47,senate,D,IL,
,,D000563,Nay,2025-02-06,47,senate,D,IL,
,,E000295,Yea,2025-02-06,47,senate,R,IA,
,,F000479,Not Voting,2025-02-06,47,senate,D,PA,
,,F000463,Yea,2025-02-06,47,senate,R,NE,
,,G000574,Nay,2025-02-06,47,senate,D,AZ,
,,G000555,Nay,2025-02-06,47,senate,D,NY,
,,G000359,Yea,2025-02-06,47,senate,R,SC,
,,G000386,Yea,2025-02-06,47,senate,R,IA,
,,H000601,Yea,2025-02-06,47,senate,R,TN,
,,H001076,Nay,2025-02-06,47,senate,D,NH,
,,M001169,Nay,2025-02-06,47,senate,D,CT,
,,M001111,Nay,2025-02-06,47,senate,D,WA,
,,O000174,Nay,2025-02-06,47,senate,D,GA,
,,P000145,Nay,2025-02-06,47,senate,D,CA,
,,P000603,Yea,2025-02-06,47,senate,R,KY,
,,P000595,Nay,2025-02-06,47,senate,D,MI,
,,R000122,Nay,2025-02-06,47,senate,D,RI,
,,C001114,Yea,2025-02-06,46,senate,R,UT,
,,D000618,Yea,2025-02-06,46,senate,R,MT,
,,D000622,Nay,2025-02-06,46,senate,D,IL,
,,D000563,Nay,2025-02-06,46,senate,D,IL,
,,E000295,Yea,2025-02-06,46,senate,R,IA,
,,F000479,Not Voting,2025-02-06,46,senate,D,PA,
,,F000463,Yea,2025-02-06,46,senate,R,NE,
,,G000574,Nay,2025-02-06,46,senate,D,AZ,
,,G000555,Nay,2025-02-06,46,senate,D,NY,
,,G000359,Yea,2025-02-06,46,senate,R,SC,
,,G000386,Yea,2025-02-06,46,senate,R,IA,
,,H000601,Yea,2025-02-06,46,senate,R,TN,
,,H001076,Nay,2025-02-06,46,senate,D,NH,
,,H001089,Yea,2025-02-06,46,senate,R,MO,
,,H001046,Nay,2025-02-06,46,senate,D,NM,
,,K000367,Yea,2025-02-04,32,senate,D,MN,
,,G000386,Yea,2025-01-30,26,senate,R,IA,
,,A000382,Nay,2026-02-25,40,senate,D,MD,
,,B001230,Nay,2026-02-25,40,senate,D,WI,
,,B001299,Yea,2026-02-25,40,senate,R,IN,
,,B001261,Yea,2026-02-25,40,senate,R,WY,
,,B001267,Nay,2026-02-25,40,senate,D,CO,
,,B001243,Yea,2026-02-25,40,senate,R,TN,
,,B001277,Nay,2026-02-25,40,senate,D,CT,
,,B001303,Nay,2026-02-25,40,senate,D,DE,
,,B001288,Nay,2026-02-25,40,senate,D,NJ,
,,B001236,Yea,2026-02-25,40,senate,R,AR,
,,B001319,Yea,2026-02-25,40,senate,R,AL,
,,B001305,Yea,2026-02-25,40,senate,R,NC,
,,C000127,Nay,2026-02-25,40,senate,D,WA,
,,C001047,Yea,2026-02-25,40,senate,R,WV,
,,C001075,Yea,2026-02-25,40,senate,R,LA,
,,C001035,Yea,2026-02-25,40,senate,R,ME,
,,C001088,Nay,2026-02-25,40,senate,D,DE,
,,C001056,Yea,2026-02-25,40,senate,R,TX,
,,C001113,Nay,2026-02-25,40,senate,D,NV,
,,C001095,Yea,2026-02-25,40,senate,R,AR,
,,C001096,Yea,2026-02-25,40,senate,R,ND,
,,C000880,Yea,2026-02-25,40,senate,R,ID,
,,C001098,Yea,2026-02-25,40,senate,R,TX,
,,C001114,Yea,2026-02-25,40,senate,R,UT,
,,D000618,Yea,2026-02-25,40,senate,R,MT,
,,D000622,Nay,2026-02-25,40,senate,D,IL,
,,D000563,Nay,2026-02-25,40,senate,D,IL,
,,E000295,Yea,2026-02-25,40,senate,R,IA,
,,F000479,Nay,2026-02-25,40,senate,D,PA,
